Frequency(Hz),Return Loss(dB),Phase(deg),Rs,SWR,Xs,|Z|,Theta
26690538,-16.77,112.87,43.2,1.34,11.8,44.8,5.0
26704800,-16.80,111.53,43.4,1.34,11.9,45.0,4.4
26719062,-16.78,111.18,43.5,1.34,12.0,45.1,4.2
26733324,-16.78,110.06,43.7,1.34,12.1,45.3,3.8
26747586,-16.78,109.70,43.8,1.34,12.2,45.4,3.6
26761848,-16.70,109.08,43.8,1.34,12.4,45.5,3.3
26776110,-16.71,108.14,44.0,1.34,12.5,45.7,2.9
26790372,-16.67,107.64,44.1,1.34,12.6,45.8,2.6
26804634,-16.64,106.68,44.2,1.35,12.7,46.0,2.2
26818896,-16.59,106.37,44.2,1.35,12.9,46.1,2.0
26833158,-16.62,105.12,44.5,1.35,13.0,46.4,1.5
26847420,-16.60,104.70,44.6,1.35,13.0,46.5,1.2
26861682,-16.59,103.67,44.8,1.35,13.2,46.7,0.8
26875944,-16.59,103.14,44.9,1.35,13.2,46.8,0.5
26890206,-16.50,102.63,44.9,1.35,13.4,46.9,0.2
26904468,-16.54,101.52,45.2,1.35,13.5,47.2,-0.3
26918730,-16.51,101.42,45.2,1.35,13.5,47.2,-0.4
26932992,-16.51,100.53,45.4,1.35,13.6,47.4,-0.8
26947254,-16.46,99.87,45.5,1.35,13.8,47.5,-1.2
26961516,-16.49,98.67,45.8,1.35,13.9,47.8,-1.7
26975778,-16.48,98.18,45.9,1.35,13.9,48.0,-2.0
26990040,-16.39,97.67,45.9,1.36,14.1,48.1,-2.3
27004302,-16.42,96.69,46.2,1.36,14.2,48.3,-2.7
27018564,-16.41,96.25,46.3,1.36,14.2,48.4,-3.0
27032826,-16.41,95.16,46.5,1.36,14.3,48.7,-3.4
27047088,-16.38,94.91,46.6,1.36,14.4,48.7,-3.6
27061350,-16.45,93.65,46.9,1.35,14.4,49.1,-4.1
27075612,-16.40,93.06,47.0,1.36,14.5,49.2,-4.5
27089874,-16.43,92.49,47.2,1.36,14.6,49.4,-4.7
27104136,-16.42,91.75,47.3,1.36,14.6,49.6,-5.1
27118398,-16.41,91.04,47.5,1.36,14.7,49.7,-5.4
27132660,-16.41,90.24,47.7,1.36,14.8,49.9,-5.8
27146922,-16.36,89.66,47.8,1.36,14.9,50.1,-6.1
27161184,-16.42,88.55,48.1,1.36,14.9,50.4,-6.5
27175446,-16.34,88.12,48.2,1.36,15.0,50.5,-6.8
27189708,-16.39,87.11,48.5,1.36,15.0,50.8,-7.2
27203970,-16.41,86.41,48.7,1.36,15.0,50.9,-7.5
27218232,-16.40,85.48,48.9,1.36,15.1,51.2,-7.9
27232494,-16.43,84.90,49.1,1.36,15.1,51.3,-8.1
27246756,-16.36,84.10,49.2,1.36,15.2,51.5,-8.5
27261018,-16.48,83.54,49.4,1.35,15.1,51.7,-8.7
27275280,-16.39,82.63,49.6,1.36,15.3,51.9,-9.1
27289542,-16.47,82.02,49.8,1.35,15.2,52.1,-9.3
27303804,-16.43,81.35,50.0,1.36,15.3,52.3,-9.6
27318066,-16.45,80.59,50.2,1.35,15.3,52.5,-9.9
27332328,-16.44,79.95,50.4,1.36,15.3,52.6,-10.2
27346590,-16.44,78.50,50.8,1.35,15.3,53.0,-10.6
27360852,-16.49,78.05,50.9,1.35,15.3,53.1,-10.7
27375114,-16.47,77.32,51.1,1.35,15.3,53.3,-11.0
27389376,-16.50,76.70,51.3,1.35,15.3,53.5,-11.2
27403638,-16.45,75.75,51.5,1.35,15.4,53.8,-11.6
27417900,-16.49,74.93,51.7,1.35,15.3,54.0,-11.8
27432162,-16.49,74.20,52.0,1.35,15.3,54.2,-12.1
27446424,-16.48,73.19,52.2,1.35,15.3,54.4,-12.4
27460686,-16.54,72.44,52.4,1.35,15.2,54.6,-12.5
27474948,-16.50,71.45,52.7,1.35,15.3,54.9,-12.9
27489210,-16.54,70.58,53.0,1.35,15.2,55.1,-13.1
27503472,-16.50,70.33,53.0,1.35,15.3,55.2,-13.3
27517734,-16.50,69.08,53.4,1.35,15.3,55.5,-13.6
27531996,-16.52,68.52,53.5,1.35,15.2,55.7,-13.7
27546258,-16.58,66.93,54.0,1.35,15.1,56.0,-14.0
27560520,-16.54,66.37,54.2,1.35,15.1,56.2,-14.2
27574782,-16.53,65.45,54.4,1.35,15.1,56.5,-14.4
27589044,-16.54,64.84,54.6,1.35,15.1,56.6,-14.6
27603306,-16.50,64.08,54.8,1.35,15.1,56.9,-14.8
27617568,-16.54,63.00,55.1,1.35,15.0,57.1,-14.9
27631830,-16.52,62.28,55.3,1.35,15.0,57.3,-15.1
27646092,-16.57,61.15,55.6,1.35,14.8,57.6,-15.2
27660354,-16.52,60.14,56.0,1.35,14.8,57.9,-15.5
27674616,-16.52,59.53,56.1,1.35,14.8,58.0,-15.6
27688878,-16.53,58.30,56.5,1.35,14.7,58.4,-15.8
27703140,-16.53,57.56,56.7,1.35,14.6,58.5,-15.9
27717402,-16.50,56.54,57.0,1.35,14.6,58.8,-16.1
27731664,-16.50,55.52,57.3,1.35,14.5,59.1,-16.2
27745926,-16.55,54.59,57.5,1.35,14.3,59.3,-16.3
27760188,-16.51,53.87,57.8,1.35,14.3,59.5,-16.4
27774450,-16.55,52.83,58.0,1.35,14.1,59.7,-16.5
27788712,-16.56,51.69,58.4,1.35,13.9,60.0,-16.5
27802974,-16.49,50.67,58.7,1.35,13.9,60.3,-16.8
27817236,-16.51,49.84,58.9,1.35,13.8,60.5,-16.8
27831498,-16.46,48.77,59.3,1.35,13.7,60.8,-16.9
27845760,-16.51,47.63,59.6,1.35,13.5,61.1,-16.9
27860022,-16.47,46.75,59.8,1.35,13.4,61.3,-17.0
27874284,-16.40,45.77,60.2,1.36,13.4,61.6,-17.2
27888546,-16.44,45.00,60.4,1.35,13.2,61.8,-17.1
27902808,-16.39,44.01,60.7,1.36,13.1,62.1,-17.2
27917070,-16.46,42.55,61.0,1.35,12.7,62.3,-17.1
27931332,-16.37,41.61,61.4,1.36,12.7,62.7,-17.3
27945594,-16.36,40.71,61.6,1.36,12.5,62.9,-17.3
27959856,-16.35,39.77,61.9,1.36,12.3,63.1,-17.3
27974118,-16.32,38.69,62.2,1.36,12.2,63.4,-17.3
27988380,-16.26,37.56,62.6,1.36,12.0,63.7,-17.3
28002642,-16.27,36.76,62.8,1.36,11.8,63.9,-17.3
28016904,-16.26,35.99,63.0,1.36,11.7,64.1,-17.2
28031166,-16.24,34.48,63.4,1.36,11.3,64.4,-17.1
28045428,-16.28,33.75,63.5,1.36,11.1,64.5,-17.0
28059690,-16.18,32.79,63.9,1.37,11.0,64.9,-17.1
28073952,-16.21,31.85,64.1,1.37,10.7,65.0,-16.9
28088214,-16.18,30.68,64.5,1.37,10.5,65.3,-16.9
28102476,-16.16,29.72,64.7,1.37,10.2,65.5,-16.8
28116738,-16.10,28.88,65.0,1.37,10.1,65.8,-16.7
28131000,-16.08,27.68,65.3,1.37,9.8,66.1,-16.6
28145262,-16.04,26.99,65.6,1.37,9.6,66.3,-16.6
28159524,-16.01,25.68,65.9,1.38,9.3,66.5,-16.4
28173786,-15.98,24.67,66.2,1.38,9.0,66.8,-16.3
28188048,-15.98,23.55,66.4,1.38,8.6,67.0,-16.0
28202310,-15.96,22.57,66.6,1.38,8.4,67.2,-15.9
28216572,-15.90,21.30,67.0,1.38,8.0,67.5,-15.7
28230834,-15.91,20.50,67.1,1.38,7.7,67.6,-15.5
28245096,-15.87,19.60,67.4,1.38,7.5,67.8,-15.4
28259358,-15.83,18.16,67.7,1.39,7.0,68.1,-15.1
28273620,-15.81,17.46,67.9,1.39,6.8,68.2,-14.9
28287882,-15.82,16.39,68.0,1.39,6.4,68.3,-14.6
28302144,-15.75,15.81,68.3,1.39,6.2,68.6,-14.5
28316406,-15.73,14.46,68.5,1.39,5.7,68.8,-14.2
28330668,-15.73,13.33,68.7,1.39,5.3,68.9,-13.9
28344930,-15.70,12.61,68.8,1.39,5.1,69.0,-13.7
28359192,-15.63,11.29,69.2,1.40,4.6,69.3,-13.4
28373454,-15.58,10.57,69.4,1.40,4.4,69.5,-13.2
28387716,-15.57,9.62,69.5,1.40,4.0,69.6,-12.9
28401978,-15.58,8.48,69.6,1.40,3.5,69.7,-12.5
28416240,-15.54,7.58,69.8,1.40,3.2,69.9,-12.2
28430502,-15.51,6.52,69.9,1.40,2.7,70.0,-11.9
28444764,-15.47,5.46,70.1,1.40,2.3,70.1,-11.5
28459026,-15.45,4.65,70.2,1.41,2.0,70.2,-11.2
28473288,-15.37,3.41,70.5,1.41,1.5,70.5,-10.8
28487550,-15.32,2.29,70.6,1.41,1.0,70.7,-10.5
28501812,-15.36,1.47,70.6,1.41,0.6,70.6,-10.0
28516074,-15.32,0.11,70.7,1.41,0.0,70.7,-9.6
28530336,-15.26,-0.78,70.8,1.42,-0.3,70.8,-9.2
28544598,-15.19,-1.86,71.0,1.42,-0.8,71.0,-8.8
28558860,-15.21,-2.62,71.0,1.42,-1.2,71.0,-8.4
28573122,-15.19,-3.52,71.0,1.42,-1.6,71.0,-8.0
28587384,-15.15,-4.87,71.0,1.42,-2.2,71.1,-7.5
28601646,-15.04,-5.86,71.3,1.43,-2.7,71.4,-7.1
28615908,-15.06,-6.59,71.2,1.43,-3.0,71.3,-6.7
28630170,-15.06,-8.05,71.1,1.43,-3.6,71.2,-6.0
28644432,-15.03,-8.79,71.1,1.43,-4.0,71.2,-5.6
28658694,-14.98,-9.81,71.1,1.43,-4.5,71.3,-5.2
28672956,-14.94,-10.94,71.1,1.44,-5.0,71.3,-4.6
28687218,-14.90,-11.90,71.1,1.44,-5.4,71.3,-4.1
28701480,-14.84,-12.74,71.2,1.44,-5.9,71.4,-3.7
28715742,-14.82,-14.05,71.0,1.44,-6.5,71.3,-3.1
28730004,-14.76,-14.70,71.1,1.45,-6.8,71.4,-2.7
28744266,-14.75,-16.19,70.9,1.45,-7.5,71.3,-2.0
28758528,-14.77,-16.93,70.7,1.45,-7.8,71.1,-1.5
28772790,-14.69,-17.65,70.7,1.45,-8.2,71.2,-1.1
28787052,-14.66,-18.88,70.6,1.45,-8.8,71.1,-0.5
28801314,-14.64,-19.53,70.5,1.45,-9.0,71.1,-0.0
28815576,-14.56,-20.90,70.4,1.46,-9.7,71.0,0.7
28829838,-14.59,-21.72,70.1,1.46,-10.0,70.8,1.1
28844100,-14.54,-22.61,70.0,1.46,-10.5,70.8,1.7
28858362,-14.48,-23.54,69.9,1.47,-10.9,70.8,2.2
28872624,-14.50,-24.78,69.5,1.46,-11.4,70.5,2.8
28886886,-14.42,-25.40,69.6,1.47,-11.8,70.6,3.3
28901148,-14.40,-26.52,69.3,1.47,-12.2,70.4,3.9
28915410,-14.40,-27.56,69.0,1.47,-12.6,70.1,4.5
28929672,-14.33,-28.51,68.9,1.48,-13.1,70.1,5.0
28943934,-14.31,-29.44,68.6,1.48,-13.5,69.9,5.6
28958196,-14.26,-30.61,68.4,1.48,-14.0,69.8,6.2
28972458,-14.26,-31.53,68.0,1.48,-14.3,69.5,6.8
28986720,-14.17,-32.54,67.9,1.49,-14.9,69.5,7.4
29000982,-14.19,-33.57,67.5,1.49,-15.1,69.2,7.9
29015244,-14.15,-34.44,67.2,1.49,-15.5,69.0,8.4
29029506,-14.12,-35.31,67.0,1.49,-15.8,68.8,9.0
29043768,-14.09,-36.53,66.6,1.49,-16.3,68.5,9.6
29058030,-14.07,-37.37,66.3,1.49,-16.6,68.4,10.1
29072292,-14.02,-38.33,66.0,1.50,-17.0,68.2,10.7
29086554,-13.97,-39.17,65.8,1.50,-17.3,68.0,11.2
29100816,-13.92,-40.21,65.4,1.50,-17.7,67.8,11.7
29115078,-13.93,-41.32,65.0,1.50,-18.0,67.4,12.3
29129340,-13.88,-42.18,64.7,1.51,-18.3,67.3,12.8
29143602,-13.86,-43.12,64.3,1.51,-18.6,67.0,13.3
29157864,-13.81,-44.04,64.0,1.51,-18.9,66.8,13.8
29172126,-13.78,-44.83,63.7,1.51,-19.2,66.6,14.3
29186388,-13.74,-45.94,63.3,1.52,-19.5,66.3,14.8
29200650,-13.70,-46.52,63.1,1.52,-19.8,66.1,15.2
29214912,-13.68,-47.63,62.7,1.52,-20.0,65.8,15.7
29229174,-13.67,-48.39,62.3,1.52,-20.2,65.5,16.1
29243436,-13.61,-49.41,61.9,1.53,-20.5,65.3,16.7
29257698,-13.56,-50.19,61.6,1.53,-20.8,65.1,17.1
29271960,-13.54,-51.24,61.2,1.53,-21.0,64.7,17.6
29286222,-13.47,-51.96,60.9,1.54,-21.3,64.6,18.0
29300484,-13.46,-52.73,60.6,1.54,-21.5,64.3,18.4
29314746,-13.42,-53.67,60.2,1.54,-21.7,64.0,18.8
29329008,-13.40,-54.29,59.9,1.54,-21.8,63.8,19.1
29343270,-13.36,-55.31,59.5,1.55,-22.0,63.4,19.6
29357532,-13.28,-56.07,59.2,1.55,-22.3,63.3,20.1
29371794,-13.25,-57.04,58.8,1.56,-22.5,62.9,20.5
29386056,-13.21,-57.82,58.4,1.56,-22.7,62.7,20.9
29400318,-13.18,-58.58,58.1,1.56,-22.8,62.4,21.2
29414580,-13.06,-59.35,57.8,1.57,-23.2,62.3,21.7
29428842,-13.09,-60.14,57.4,1.57,-23.2,61.9,21.9
29443104,-13.05,-60.92,57.0,1.57,-23.3,61.6,22.3
29457366,-12.97,-61.63,56.7,1.58,-23.6,61.4,22.7
29471628,-12.97,-62.30,56.4,1.58,-23.6,61.2,22.9
29485890,-12.91,-62.95,56.1,1.58,-23.8,61.0,23.2
29500152,-12.87,-63.71,55.8,1.59,-24.0,60.7,23.6
29514414,-12.80,-64.61,55.3,1.59,-24.2,60.4,23.9
29528676,-12.71,-65.31,55.0,1.60,-24.5,60.2,24.4
29542938,-12.69,-66.10,54.6,1.60,-24.5,59.9,24.6
29557200,-12.66,-66.91,54.3,1.61,-24.6,59.6,24.9
29571462,-12.61,-67.36,54.0,1.61,-24.7,59.4,25.1
29585724,-12.55,-67.94,53.8,1.62,-24.9,59.2,25.4
29599986,-12.52,-68.78,53.4,1.62,-24.9,58.9,25.7
29614248,-12.45,-69.51,53.0,1.63,-25.1,58.6,26.0
29628510,-12.43,-70.00,52.8,1.63,-25.1,58.4,26.2
29642772,-12.37,-70.85,52.3,1.63,-25.3,58.1,26.5
29657034,-12.31,-71.36,52.1,1.64,-25.4,57.9,26.7
29671296,-12.29,-72.05,51.7,1.64,-25.4,57.7,26.9
29685558,-12.25,-72.63,51.5,1.65,-25.5,57.4,27.1
29699820,-12.19,-73.34,51.1,1.65,-25.6,57.1,27.3
29714082,-12.14,-73.79,50.9,1.66,-25.7,57.0,27.6
29728344,-12.09,-74.37,50.6,1.66,-25.8,56.8,27.7
29742606,-12.04,-74.99,50.2,1.67,-25.9,56.5,27.9
29756868,-11.99,-75.67,49.9,1.67,-26.0,56.2,28.2
29771130,-11.95,-76.26,49.6,1.68,-26.0,56.0,28.3
29785392,-11.90,-76.72,49.3,1.68,-26.1,55.8,28.5
29799654,-11.87,-77.33,49.0,1.68,-26.1,55.6,28.6
29813916,-11.79,-77.93,48.7,1.69,-26.3,55.3,28.9
29828178,-11.72,-78.41,48.4,1.70,-26.4,55.1,29.1
29842440,-11.69,-78.91,48.2,1.70,-26.4,54.9,29.2
29856702,-11.65,-79.43,47.9,1.71,-26.4,54.7,29.3
29870964,-11.60,-79.97,47.6,1.71,-26.5,54.5,29.4
29885226,-11.53,-80.45,47.3,1.72,-26.6,54.3,29.6
29899488,-11.52,-81.19,47.0,1.72,-26.5,54.0,29.6
29913750,-11.46,-81.62,46.7,1.73,-26.6,53.8,29.8
29928012,-11.42,-82.06,46.5,1.73,-26.7,53.6,29.9
29942274,-11.37,-82.61,46.2,1.74,-26.7,53.3,30.0
29956536,-11.29,-83.04,45.9,1.75,-26.8,53.2,30.2
29970798,-11.28,-83.52,45.7,1.75,-26.8,53.0,30.2
29985060,-11.20,-83.85,45.4,1.76,-26.9,52.8,30.4
29999322,-11.19,-84.29,45.2,1.76,-26.9,52.6,30.3
