Frequency(Hz),Return Loss(dB),Phase(deg),Rs,SWR,Xs,|Z|,Theta
22354890,-15.33,13.17,69.7,1.41,5.6,70.0,15.1
22369152,-15.40,12.82,69.6,1.41,5.4,69.8,14.8
22383414,-15.36,11.40,69.9,1.41,4.9,70.0,14.5
22397676,-15.42,10.79,69.8,1.41,4.6,69.9,14.1
22411938,-15.38,9.43,70.0,1.41,4.0,70.2,13.8
22426200,-15.38,9.00,70.1,1.41,3.8,70.2,13.6
22440462,-15.42,7.83,70.1,1.41,3.3,70.2,13.1
22454724,-15.33,6.79,70.4,1.41,2.9,70.5,12.9
22468986,-15.37,6.10,70.4,1.41,2.6,70.4,12.5
22483248,-15.32,4.43,70.6,1.41,1.9,70.6,12.0
22497510,-15.31,4.04,70.6,1.41,1.8,70.7,11.8
22511772,-15.22,2.39,70.9,1.42,1.1,70.9,11.4
22526034,-15.35,1.95,70.6,1.41,0.8,70.6,11.0
22540296,-15.27,0.95,70.8,1.42,0.4,70.8,10.7
22554558,-15.19,-0.03,71.1,1.42,-0.0,71.1,10.3
22568820,-15.20,-0.50,71.0,1.42,-0.2,71.0,10.0
22583082,-15.16,-2.40,71.1,1.42,-1.1,71.1,9.4
22597344,-15.21,-3.23,70.9,1.42,-1.4,71.0,8.9
22611606,-15.12,-4.75,71.2,1.43,-2.1,71.2,8.4
22625868,-15.11,-4.96,71.2,1.43,-2.2,71.2,8.2
22640130,-15.01,-6.28,71.4,1.43,-2.9,71.4,7.7
22654392,-15.04,-7.23,71.2,1.43,-3.3,71.3,7.2
22668654,-15.01,-7.96,71.2,1.43,-3.6,71.3,6.9
22682916,-15.02,-9.81,71.0,1.43,-4.4,71.1,6.1
22697178,-14.97,-10.16,71.1,1.43,-4.6,71.3,5.8
22711440,-14.91,-11.55,71.1,1.44,-5.3,71.3,5.2
22725702,-14.90,-12.21,71.1,1.44,-5.6,71.3,4.8
22739964,-14.83,-13.35,71.1,1.44,-6.2,71.4,4.3
22754226,-14.84,-14.79,70.8,1.44,-6.8,71.2,3.6
22768488,-14.73,-15.42,71.1,1.45,-7.2,71.4,3.3
22782750,-14.74,-16.79,70.8,1.45,-7.8,71.2,2.6
22797012,-14.68,-17.41,70.8,1.45,-8.1,71.3,2.2
22811274,-14.75,-18.87,70.3,1.45,-8.6,70.9,1.5
22825536,-14.62,-19.50,70.5,1.46,-9.1,71.1,1.1
22839798,-14.59,-20.35,70.4,1.46,-9.5,71.1,0.6
