Frequency(Hz),Return Loss(dB),Phase(deg),Rs,SWR,Xs,|Z|,Theta
26619228,-11.44,70.09,52.2,1.73,28.3,59.4,-13.0
26633490,-11.39,69.82,52.3,1.74,28.5,59.6,-13.4
26647752,-11.38,69.64,52.4,1.74,28.6,59.7,-13.8
26662014,-11.38,69.39,52.5,1.74,28.6,59.8,-14.1
26676276,-11.38,69.08,52.7,1.74,28.6,60.0,-14.5
26690538,-11.38,68.85,52.8,1.74,28.7,60.1,-14.8
26704800,-11.38,68.79,52.8,1.74,28.7,60.1,-15.0
26719062,-11.38,68.42,53.0,1.74,28.7,60.3,-15.4
26733324,-11.38,68.41,53.0,1.74,28.7,60.3,-15.6
26747586,-11.39,68.10,53.2,1.74,28.7,60.4,-16.0
26761848,-11.36,67.83,53.3,1.74,28.8,60.6,-16.4
26776110,-11.37,67.62,53.4,1.74,28.8,60.7,-16.6
26790372,-11.38,67.43,53.6,1.74,28.8,60.8,-16.9
26804634,-11.38,67.17,53.7,1.74,28.8,60.9,-17.2
26818896,-11.41,66.94,53.8,1.74,28.7,61.0,-17.4
26833158,-11.39,66.68,54.0,1.74,28.8,61.2,-17.8
26847420,-11.39,66.39,54.1,1.74,28.8,61.3,-18.1
26861682,-11.40,66.15,54.3,1.74,28.8,61.4,-18.4
26875944,-11.41,66.06,54.3,1.74,28.8,61.5,-18.6
26890206,-11.44,65.99,54.4,1.73,28.7,61.5,-18.7
26904468,-11.43,65.76,54.5,1.73,28.7,61.6,-19.0
26918730,-11.48,65.45,54.7,1.73,28.6,61.7,-19.2
26932992,-11.48,65.07,54.9,1.73,28.6,61.9,-19.6
26947254,-11.48,64.91,55.0,1.73,28.6,62.0,-19.8
26961516,-11.47,64.71,55.1,1.73,28.6,62.1,-20.1
26975778,-11.53,64.42,55.2,1.72,28.4,62.1,-20.2
26990040,-11.53,64.35,55.3,1.72,28.4,62.2,-20.4
27004302,-11.53,64.04,55.5,1.72,28.4,62.3,-20.7
27018564,-11.56,63.74,55.6,1.72,28.3,62.4,-20.9
27032826,-11.57,63.73,55.6,1.72,28.3,62.4,-21.0
27047088,-11.63,63.30,55.9,1.71,28.1,62.6,-21.2
27061350,-11.62,63.06,56.0,1.71,28.2,62.7,-21.4
27075612,-11.68,62.94,56.1,1.71,27.9,62.7,-21.5
27089874,-11.67,62.74,56.2,1.71,28.0,62.8,-21.7
27104136,-11.69,62.55,56.3,1.70,27.9,62.8,-21.9
27118398,-11.74,62.25,56.5,1.70,27.7,62.9,-22.0
27132660,-11.76,62.11,56.6,1.70,27.7,63.0,-22.1
27146922,-11.80,61.81,56.7,1.69,27.5,63.0,-22.2
27161184,-11.83,61.63,56.8,1.69,27.4,63.1,-22.3
27175446,-11.85,61.21,57.1,1.69,27.3,63.3,-22.6
27189708,-11.88,61.05,57.1,1.68,27.2,63.3,-22.7
27203970,-11.91,60.79,57.3,1.68,27.1,63.4,-22.8
27218232,-11.94,60.71,57.3,1.68,27.0,63.4,-22.9
27232494,-11.99,60.38,57.5,1.67,26.8,63.4,-22.9
27246756,-12.02,60.09,57.6,1.67,26.7,63.5,-23.1
27261018,-12.05,59.93,57.7,1.67,26.6,63.6,-23.1
27275280,-12.10,59.70,57.8,1.66,26.4,63.6,-23.2
27289542,-12.15,59.52,57.9,1.66,26.3,63.6,-23.2
27303804,-12.20,59.33,58.0,1.65,26.1,63.6,-23.2
27318066,-12.23,58.84,58.3,1.65,26.0,63.8,-23.4
27332328,-12.28,58.70,58.3,1.64,25.8,63.8,-23.4
27346590,-12.31,58.58,58.4,1.64,25.6,63.8,-23.4
27360852,-12.33,58.27,58.5,1.64,25.6,63.9,-23.5
27375114,-12.41,58.05,58.6,1.63,25.3,63.9,-23.5
27389376,-12.42,57.87,58.7,1.63,25.2,63.9,-23.6
27403638,-12.51,57.55,58.9,1.62,24.9,63.9,-23.5
27417900,-12.58,57.20,59.0,1.61,24.7,64.0,-23.5
27432162,-12.61,57.01,59.1,1.61,24.5,64.0,-23.5
27446424,-12.67,56.87,59.1,1.61,24.3,63.9,-23.5
27460686,-12.70,56.61,59.2,1.60,24.2,64.0,-23.5
27474948,-12.78,56.27,59.4,1.60,23.9,64.0,-23.5
27489210,-12.83,56.05,59.5,1.59,23.8,64.0,-23.5
27503472,-12.89,55.78,59.6,1.59,23.6,64.0,-23.4
27517734,-12.93,55.63,59.6,1.58,23.4,64.0,-23.4
27531996,-13.00,55.45,59.7,1.58,23.2,64.0,-23.3
27546258,-13.06,54.96,59.9,1.57,22.9,64.1,-23.3
27560520,-13.11,54.72,59.9,1.57,22.7,64.1,-23.3
27574782,-13.19,54.67,59.9,1.56,22.5,64.0,-23.1
27589044,-13.25,54.31,60.0,1.56,22.3,64.0,-23.1
27603306,-13.32,54.02,60.1,1.55,22.0,64.0,-23.0
27617568,-13.35,53.94,60.1,1.55,21.9,64.0,-23.0
27631830,-13.46,53.64,60.2,1.54,21.6,63.9,-22.8
27646092,-13.54,53.26,60.3,1.53,21.3,63.9,-22.7
27660354,-13.60,53.09,60.3,1.53,21.1,63.9,-22.6
27674616,-13.68,52.73,60.4,1.52,20.8,63.9,-22.5
27688878,-13.77,52.62,60.4,1.52,20.5,63.8,-22.3
27703140,-13.85,52.57,60.3,1.51,20.3,63.7,-22.2
27717402,-13.92,52.20,60.4,1.50,20.1,63.7,-22.1
27731664,-14.01,51.96,60.5,1.50,19.8,63.6,-21.9
27745926,-14.11,51.72,60.5,1.49,19.5,63.5,-21.7
27760188,-14.14,51.68,60.5,1.49,19.4,63.5,-21.7
27774450,-14.25,51.42,60.5,1.48,19.0,63.4,-21.5
27788712,-14.30,50.95,60.6,1.48,18.8,63.5,-21.4
27802974,-14.40,51.03,60.5,1.47,18.6,63.3,-21.2
27817236,-14.49,50.53,60.6,1.46,18.3,63.3,-21.0
27831498,-14.61,50.25,60.6,1.46,17.9,63.2,-20.8
27845760,-14.70,49.97,60.6,1.45,17.7,63.1,-20.6
27860022,-14.80,49.77,60.6,1.44,17.4,63.0,-20.4
27874284,-14.86,49.46,60.6,1.44,17.2,63.0,-20.3
27888546,-14.95,49.42,60.6,1.44,17.0,62.9,-20.1
27902808,-15.11,49.19,60.5,1.43,16.6,62.7,-19.8
27917070,-15.19,48.74,60.5,1.42,16.3,62.7,-19.7
27931332,-15.31,48.52,60.5,1.41,16.0,62.6,-19.4
27945594,-15.36,48.31,60.5,1.41,15.9,62.6,-19.3
27959856,-15.53,47.94,60.5,1.40,15.5,62.4,-19.0
27974118,-15.62,47.57,60.5,1.40,15.2,62.4,-18.8
27988380,-15.73,47.60,60.4,1.39,15.0,62.2,-18.6
28002642,-15.83,47.19,60.4,1.39,14.7,62.1,-18.3
28016904,-15.95,46.98,60.3,1.38,14.4,62.0,-18.1
28031166,-16.08,46.90,60.2,1.37,14.1,61.8,-17.8
28045428,-16.17,46.18,60.3,1.37,13.9,61.9,-17.7
28059690,-16.29,46.35,60.1,1.36,13.7,61.7,-17.4
28073952,-16.42,45.77,60.2,1.36,13.3,61.6,-17.2
28088214,-16.58,45.31,60.1,1.35,13.0,61.5,-16.8
28102476,-16.73,45.45,59.9,1.34,12.7,61.3,-16.6
28116738,-16.82,44.87,60.0,1.34,12.5,61.3,-16.4
28131000,-16.97,44.83,59.8,1.33,12.2,61.1,-16.1
28145262,-17.08,44.25,59.9,1.33,11.9,61.0,-15.9
28159524,-17.21,43.82,59.8,1.32,11.6,60.9,-15.6
28173786,-17.38,43.40,59.7,1.31,11.3,60.8,-15.3
28188048,-17.50,43.32,59.6,1.31,11.1,60.7,-15.0
28202310,-17.63,42.73,59.6,1.30,10.8,60.6,-14.8
28216572,-17.84,42.31,59.5,1.29,10.4,60.4,-14.4
28230834,-17.95,42.08,59.4,1.29,10.3,60.3,-14.2
28245096,-18.15,41.27,59.4,1.28,9.8,60.2,-13.8
28259358,-18.24,41.39,59.2,1.28,9.7,60.0,-13.7
28273620,-18.43,40.67,59.2,1.27,9.4,59.9,-13.3
28287882,-18.54,40.24,59.2,1.27,9.2,59.9,-13.1
28302144,-18.71,39.72,59.1,1.26,8.9,59.7,-12.8
28316406,-18.89,39.45,58.9,1.26,8.6,59.6,-12.5
28330668,-19.10,39.17,58.8,1.25,8.3,59.4,-12.1
28344930,-19.24,38.26,58.8,1.24,8.0,59.3,-11.9
28359192,-19.42,38.06,58.6,1.24,7.8,59.1,-11.6
28373454,-19.62,37.16,58.6,1.23,7.5,59.0,-11.2
28387716,-19.82,36.66,58.4,1.23,7.2,58.9,-10.9
28401978,-20.02,35.90,58.4,1.22,6.9,58.8,-10.6
28416240,-20.20,35.61,58.2,1.22,6.7,58.6,-10.3
28430502,-20.38,34.88,58.1,1.21,6.4,58.5,-10.0
28444764,-20.68,33.79,58.0,1.20,6.0,58.3,-9.5
28459026,-20.85,33.25,57.9,1.20,5.8,58.2,-9.3
28473288,-21.11,32.72,57.7,1.19,5.5,58.0,-8.9
28487550,-21.35,31.90,57.6,1.19,5.2,57.8,-8.6
28501812,-21.53,30.29,57.6,1.18,4.9,57.8,-8.2
28516074,-21.86,30.06,57.3,1.18,4.7,57.5,-7.9
28530336,-22.03,29.05,57.2,1.17,4.4,57.4,-7.6
28544598,-22.34,27.59,57.1,1.17,4.1,57.3,-7.2
28558860,-22.50,27.31,57.0,1.16,3.9,57.1,-7.0
28573122,-22.86,25.86,56.8,1.16,3.6,56.9,-6.5
28587384,-23.05,24.53,56.7,1.15,3.3,56.8,-6.3
28601646,-23.42,23.24,56.5,1.14,3.0,56.6,-5.8
28615908,-23.72,21.86,56.4,1.14,2.7,56.4,-5.5
28630170,-23.88,20.35,56.3,1.14,2.5,56.4,-5.2
28644432,-24.32,18.58,56.1,1.13,2.2,56.1,-4.8
28658694,-24.50,17.95,56.0,1.13,2.1,56.0,-4.6
28672956,-24.83,15.10,55.8,1.12,1.7,55.9,-4.1
28687218,-25.08,13.48,55.7,1.12,1.5,55.7,-3.8
28701480,-25.59,11.27,55.4,1.11,1.1,55.4,-3.4
28715742,-25.75,8.93,55.4,1.11,0.9,55.4,-3.1
28730004,-26.10,6.66,55.2,1.10,0.6,55.2,-2.7
28744266,-26.47,4.67,55.0,1.10,0.4,55.0,-2.4
28758528,-26.62,1.49,54.9,1.10,0.1,54.9,-2.0
28772790,-27.09,-1.60,54.6,1.09,-0.1,54.6,-1.6
28787052,-27.29,-5.23,54.5,1.09,-0.4,54.5,-1.3
28801314,-27.61,-8.19,54.3,1.09,-0.6,54.3,-0.9
28815576,-27.90,-10.60,54.1,1.08,-0.8,54.1,-0.7
28829838,-28.00,-14.77,54.0,1.08,-1.1,54.0,-0.3
28844100,-28.35,-20.27,53.7,1.08,-1.4,53.7,0.1
28858362,-28.55,-24.59,53.5,1.08,-1.7,53.5,0.5
28872624,-28.53,-28.33,53.4,1.08,-1.9,53.4,0.8
28886886,-28.58,-32.93,53.2,1.08,-2.2,53.2,1.2
28901148,-28.76,-36.67,53.0,1.08,-2.3,53.0,1.4
28915410,-28.63,-41.72,52.8,1.08,-2.6,52.8,1.8
28929672,-28.50,-46.58,52.6,1.08,-2.9,52.6,2.2
28943934,-28.48,-50.27,52.4,1.08,-3.0,52.5,2.5
28958196,-28.21,-54.96,52.2,1.08,-3.3,52.3,2.9
28972458,-27.95,-59.65,51.9,1.08,-3.6,52.1,3.3
28986720,-27.71,-62.96,51.8,1.09,-3.8,51.9,3.6
29000982,-27.39,-67.57,51.5,1.09,-4.1,51.7,4.0
29015244,-27.07,-69.82,51.4,1.09,-4.3,51.6,4.2
29029506,-26.72,-73.96,51.1,1.10,-4.5,51.3,4.6
29043768,-26.46,-76.08,50.9,1.10,-4.7,51.2,4.9
29058030,-25.92,-78.79,50.7,1.11,-5.0,51.0,5.3
29072292,-25.73,-81.70,50.5,1.11,-5.2,50.7,5.6
29086554,-25.30,-84.11,50.3,1.11,-5.5,50.6,6.0
29100816,-25.02,-86.89,50.0,1.12,-5.6,50.3,6.2
29115078,-24.55,-88.35,49.8,1.13,-5.9,50.2,6.6
29129340,-24.13,-90.13,49.6,1.13,-6.2,50.0,7.0
29143602,-23.92,-92.16,49.4,1.14,-6.3,49.8,7.2
29157864,-23.52,-93.96,49.1,1.14,-6.6,49.5,7.6
29172126,-23.16,-95.33,48.9,1.15,-6.8,49.4,7.9
29186388,-22.87,-96.44,48.7,1.15,-7.0,49.2,8.2
29200650,-22.61,-98.78,48.4,1.16,-7.1,48.9,8.5
29214912,-22.26,-99.14,48.2,1.17,-7.4,48.8,8.8
29229174,-21.90,-100.57,48.0,1.17,-7.6,48.6,9.2
29243436,-21.55,-100.96,47.8,1.18,-7.9,48.4,9.5
29257698,-21.33,-102.51,47.5,1.19,-8.0,48.2,9.7
29271960,-21.01,-103.05,47.3,1.20,-8.3,48.0,10.1
29286222,-20.74,-104.30,47.0,1.20,-8.4,47.8,10.3
29300484,-20.42,-104.53,46.9,1.21,-8.7,47.7,10.7
29314746,-20.20,-105.79,46.6,1.22,-8.8,47.4,10.9
29329008,-19.93,-106.38,46.4,1.22,-9.1,47.3,11.2
29343270,-19.67,-107.16,46.1,1.23,-9.3,47.1,11.5
29357532,-19.43,-107.79,45.9,1.24,-9.4,46.9,11.8
29371794,-19.14,-108.00,45.7,1.25,-9.7,46.7,12.1
29386056,-18.90,-109.50,45.3,1.26,-9.8,46.4,12.4
29400318,-18.68,-109.87,45.1,1.26,-10.0,46.2,12.6
29414580,-18.45,-109.88,45.0,1.27,-10.3,46.1,12.9
29428842,-18.22,-110.76,44.7,1.28,-10.4,45.9,13.2
29443104,-18.04,-111.07,44.5,1.29,-10.6,45.7,13.4
29457366,-17.79,-111.78,44.2,1.30,-10.8,45.5,13.7
29471628,-17.57,-112.20,44.0,1.30,-11.0,45.3,13.9
29485890,-17.38,-112.70,43.7,1.31,-11.1,45.1,14.1
29500152,-17.19,-113.28,43.5,1.32,-11.3,44.9,14.3
29514414,-16.97,-113.52,43.2,1.33,-11.5,44.7,14.6
29528676,-16.76,-113.90,43.0,1.34,-11.7,44.5,14.9
29542938,-16.58,-114.48,42.7,1.35,-11.8,44.3,15.1
29557200,-16.41,-114.91,42.5,1.36,-11.9,44.1,15.2
29571462,-16.24,-114.95,42.3,1.36,-12.1,44.0,15.5
29585724,-16.02,-115.63,42.0,1.38,-12.3,43.7,15.7
29599986,-15.89,-115.79,41.8,1.38,-12.4,43.6,15.8
29614248,-15.66,-116.06,41.5,1.39,-12.6,43.4,16.1
29628510,-15.50,-116.47,41.3,1.40,-12.8,43.2,16.3
29642772,-15.34,-116.72,41.0,1.41,-12.9,43.0,16.5
29657034,-15.19,-117.03,40.8,1.42,-13.0,42.8,16.7
29671296,-15.02,-117.32,40.5,1.43,-13.2,42.6,16.8
29685558,-14.85,-117.86,40.2,1.44,-13.3,42.4,17.0
29699820,-14.70,-118.20,40.0,1.45,-13.4,42.2,17.1
29714082,-14.55,-118.51,39.7,1.46,-13.6,42.0,17.3
29728344,-14.39,-118.66,39.5,1.47,-13.7,41.8,17.5
29742606,-14.25,-118.98,39.3,1.48,-13.8,41.6,17.6
29756868,-14.12,-119.19,39.1,1.49,-14.0,41.5,17.7
29771130,-13.97,-119.52,38.8,1.50,-14.1,41.3,17.8
29785392,-13.82,-119.80,38.5,1.51,-14.2,41.1,18.0
29799654,-13.67,-120.14,38.2,1.52,-14.3,40.8,18.1
29813916,-13.53,-120.32,38.0,1.53,-14.5,40.7,18.2
29828178,-13.41,-120.64,37.8,1.54,-14.5,40.5,18.3
29842440,-13.27,-120.75,37.6,1.55,-14.7,40.3,18.4
29856702,-13.17,-121.19,37.3,1.56,-14.7,40.1,18.4
29870964,-13.03,-121.27,37.1,1.57,-14.9,40.0,18.6
29885226,-12.92,-121.32,36.9,1.58,-15.0,39.8,18.7
29899488,-12.76,-121.86,36.5,1.60,-15.1,39.5,18.7
29913750,-12.64,-121.99,36.3,1.61,-15.2,39.4,18.8
29928012,-12.53,-121.95,36.1,1.62,-15.4,39.3,18.9
29942274,-12.37,-122.46,35.8,1.63,-15.4,39.0,19.0
29956536,-12.31,-122.60,35.7,1.64,-15.5,38.9,18.9
29970798,-12.18,-122.83,35.4,1.65,-15.6,38.7,19.0
29985060,-12.07,-123.10,35.1,1.66,-15.6,38.5,19.0
29999322,-11.95,-123.34,34.9,1.68,-15.7,38.3,19.0
