Frequency(Hz),Return Loss(dB),Phase(deg),Rs,SWR,Xs,|Z|,Theta
22297842,-13.35,-49.02,62.4,1.55,-21.3,65.9,-4.7
22312104,-13.34,-49.40,62.2,1.55,-21.3,65.8,-5.1
22326366,-13.26,-49.65,62.2,1.56,-21.6,65.9,-5.5
22340628,-13.25,-50.03,62.0,1.56,-21.7,65.7,-5.8
22354890,-13.22,-50.51,61.8,1.56,-21.9,65.6,-6.3
22369152,-13.20,-50.85,61.7,1.56,-22.0,65.5,-6.6
22383414,-13.14,-50.97,61.7,1.57,-22.2,65.6,-6.9
22397676,-13.15,-51.31,61.5,1.56,-22.2,65.4,-7.2
22411938,-13.10,-51.74,61.4,1.57,-22.4,65.3,-7.7
22426200,-13.06,-52.19,61.2,1.57,-22.6,65.2,-8.1
22440462,-13.06,-52.47,61.0,1.57,-22.7,65.1,-8.4
22454724,-13.03,-52.69,61.0,1.57,-22.8,65.1,-8.7
22468986,-13.03,-52.89,60.9,1.57,-22.8,65.0,-9.0
22483248,-12.99,-53.37,60.7,1.58,-23.0,64.9,-9.4
22497510,-12.97,-53.38,60.7,1.58,-23.0,64.9,-9.6
22511772,-12.98,-53.85,60.4,1.58,-23.1,64.7,-10.0
22526034,-12.99,-54.08,60.3,1.58,-23.1,64.6,-10.3
22540296,-12.94,-54.23,60.3,1.58,-23.2,64.6,-10.6
22554558,-12.91,-54.75,60.0,1.58,-23.4,64.4,-11.1
22568820,-12.91,-54.97,59.9,1.58,-23.4,64.4,-11.3
22583082,-12.90,-55.18,59.8,1.59,-23.5,64.3,-11.6
22597344,-12.89,-55.58,59.7,1.59,-23.5,64.1,-12.0
22611606,-12.90,-55.65,59.6,1.59,-23.5,64.1,-12.2
22625868,-12.87,-56.04,59.4,1.59,-23.6,64.0,-12.5
22640130,-12.90,-56.20,59.3,1.59,-23.6,63.9,-12.7
22654392,-12.84,-56.57,59.2,1.59,-23.8,63.8,-13.2
22668654,-12.87,-56.63,59.2,1.59,-23.7,63.7,-13.3
22682916,-12.88,-56.92,59.0,1.59,-23.6,63.6,-13.6
22697178,-12.88,-57.39,58.8,1.59,-23.7,63.4,-13.9
22711440,-12.86,-57.58,58.7,1.59,-23.8,63.3,-14.2
22725702,-12.88,-57.39,58.8,1.59,-23.7,63.4,-14.3
22739964,-12.86,-57.66,58.7,1.59,-23.8,63.3,-14.6
22754226,-12.86,-58.14,58.4,1.59,-23.8,63.1,-14.9
22768488,-12.89,-58.18,58.4,1.59,-23.7,63.0,-15.0
22782750,-12.90,-58.60,58.2,1.59,-23.7,62.8,-15.3
22797012,-12.89,-58.72,58.1,1.59,-23.7,62.8,-15.5
22811274,-12.87,-58.98,58.0,1.59,-23.8,62.7,-15.8
22825536,-12.92,-59.06,58.0,1.58,-23.7,62.6,-15.9
22839798,-12.93,-59.54,57.7,1.58,-23.7,62.4,-16.2
22854060,-12.94,-59.66,57.7,1.58,-23.6,62.3,-16.4
22868322,-12.94,-59.80,57.6,1.58,-23.6,62.3,-16.6
22882584,-12.98,-59.87,57.5,1.58,-23.5,62.2,-16.7
22896846,-12.96,-60.34,57.3,1.58,-23.6,62.0,-17.0
22911108,-13.02,-60.73,57.1,1.58,-23.4,61.8,-17.2
22925370,-13.04,-60.47,57.3,1.57,-23.4,61.8,-17.2
22939632,-13.03,-60.85,57.1,1.57,-23.4,61.7,-17.5
22953894,-13.09,-61.09,56.9,1.57,-23.2,61.5,-17.5
22968156,-13.08,-61.23,56.9,1.57,-23.3,61.5,-17.7
22982418,-13.08,-61.57,56.7,1.57,-23.3,61.3,-18.0
22996680,-13.16,-61.60,56.7,1.56,-23.0,61.2,-17.9
23010942,-13.18,-61.97,56.5,1.56,-23.0,61.0,-18.1
23025204,-13.18,-62.25,56.4,1.56,-23.0,60.9,-18.4
23039466,-13.23,-62.35,56.3,1.56,-22.9,60.8,-18.4
23053728,-13.27,-62.54,56.3,1.55,-22.7,60.7,-18.5
23067990,-13.30,-62.72,56.2,1.55,-22.7,60.6,-18.6
23082252,-13.34,-62.91,56.1,1.55,-22.5,60.4,-18.7
23096514,-13.36,-63.01,56.0,1.55,-22.5,60.4,-18.8
23110776,-13.39,-63.28,55.9,1.54,-22.4,60.2,-18.9
23125038,-13.43,-63.53,55.8,1.54,-22.3,60.1,-19.0
23139300,-13.48,-63.71,55.7,1.54,-22.2,60.0,-19.0
23153562,-13.49,-64.04,55.6,1.54,-22.1,59.8,-19.2
